Time,Susceptible,Infected,Recovered
0.000000,99900.000000,100.000000,0.000000
0.100000,99897.170000,101.910000,0.920000
0.200000,99894.110000,103.930000,1.960000
0.300000,99890.970000,106.050000,2.980000
0.400000,99887.570000,108.280000,4.150000
0.500000,99884.010000,110.930000,5.060000
0.600000,99880.520000,113.290000,6.190000
0.700000,99877.080000,115.540000,7.380000
0.800000,99873.700000,117.790000,8.510000
0.900000,99870.190000,120.070000,9.740000
1.000000,99866.760000,122.360000,10.880000
1.100000,99862.940000,125.010000,12.050000
1.200000,99859.680000,126.960000,13.360000
1.300000,99855.850000,129.560000,14.590000
1.400000,99851.710000,132.280000,16.010000
1.500000,99847.610000,134.790000,17.600000
1.600000,99843.660000,137.350000,18.990000
1.700000,99839.540000,140.170000,20.290000
1.800000,99835.290000,142.880000,21.830000
1.900000,99831.270000,145.620000,23.110000
2.000000,99826.840000,148.630000,24.530000
2.100000,99822.270000,151.720000,26.010000
2.200000,99817.440000,155.200000,27.360000
2.300000,99812.830000,158.240000,28.930000
2.400000,99808.150000,161.220000,30.630000
2.500000,99803.170000,164.760000,32.070000
2.600000,99798.450000,167.750000,33.800000
2.700000,99793.300000,171.180000,35.520000
2.800000,99788.020000,174.750000,37.230000
2.900000,99782.610000,178.440000,38.950000
3.000000,99777.530000,181.920000,40.550000
3.100000,99772.370000,185.280000,42.350000
3.200000,99766.860000,189.030000,44.110000
3.300000,99761.350000,192.680000,45.970000
3.400000,99755.720000,196.630000,47.650000
3.500000,99749.900000,200.610000,49.490000
3.600000,99743.940000,204.810000,51.250000
3.700000,99737.780000,208.970000,53.250000
3.800000,99731.560000,213.180000,55.260000
3.900000,99725.180000,217.410000,57.410000
4.000000,99718.290000,222.340000,59.370000
4.100000,99711.690000,226.620000,61.690000
4.200000,99704.850000,231.270000,63.880000
4.300000,99698.030000,235.610000,66.360000
4.400000,99690.800000,240.550000,68.650000
4.500000,99683.280000,245.440000,71.280000
4.600000,99675.810000,250.660000,73.530000
4.700000,99668.110000,256.040000,75.850000
4.800000,99660.150000,261.890000,77.960000
4.900000,99652.720000,266.650000,80.630000
5.000000,99644.860000,271.710000,83.430000
5.100000,99637.360000,276.410000,86.230000
5.200000,99628.780000,282.110000,89.110000
5.300000,99619.960000,288.110000,91.930000
5.400000,99611.590000,293.400000,95.010000
5.500000,99602.420000,299.880000,97.700000
5.600000,99593.510000,305.710000,100.780000
5.700000,99584.120000,311.980000,103.900000
5.800000,99574.480000,318.830000,106.690000
5.900000,99565.110000,325.100000,109.790000
6.000000,99555.420000,331.190000,113.390000
6.100000,99545.230000,338.010000,116.760000
6.200000,99535.090000,344.810000,120.100000
6.300000,99524.310000,352.190000,123.500000
6.400000,99513.390000,359.880000,126.730000
6.500000,99502.900000,366.930000,130.170000
6.600000,99492.020000,373.970000,134.010000
6.700000,99480.690000,381.270000,138.040000
6.800000,99468.300000,390.080000,141.620000
6.900000,99457.260000,397.310000,145.430000
7.000000,99445.600000,405.070000,149.330000
7.100000,99433.670000,413.340000,152.990000
7.200000,99421.220000,421.700000,157.080000
7.300000,99408.930000,429.830000,161.240000
7.400000,99395.840000,438.660000,165.500000
7.500000,99382.630000,447.300000,170.070000
7.600000,99369.450000,456.060000,174.490000
7.700000,99355.900000,465.280000,178.820000
7.800000,99342.210000,474.420000,183.370000
7.900000,99328.010000,483.740000,188.250000
8.000000,99313.990000,492.840000,193.170000
8.100000,99299.470000,502.450000,198.080000
8.200000,99284.700000,512.330000,202.970000
8.300000,99269.510000,522.410000,208.080000
8.400000,99253.970000,533.060000,212.970000
8.500000,99237.780000,543.950000,218.270000
8.600000,99221.870000,553.980000,224.150000
8.700000,99205.990000,564.480000,229.530000
8.800000,99188.610000,576.070000,235.320000
8.900000,99171.530000,587.230000,241.240000
9.000000,99154.070000,598.720000,247.210000
9.100000,99135.950000,610.740000,253.310000
9.200000,99117.570000,623.030000,259.400000
9.300000,99098.780000,635.340000,265.880000
9.400000,99079.980000,648.070000,271.950000
9.500000,99060.420000,660.980000,278.600000
9.600000,99041.090000,673.780000,285.130000
9.700000,99021.010000,687.290000,291.700000
9.800000,99000.120000,701.120000,298.760000
9.900000,98978.360000,716.040000,305.600000
10.000000,98956.530000,730.940000,312.530000
10.100000,98934.470000,745.860000,319.670000
10.200000,98913.030000,759.990000,326.980000
10.300000,98890.690000,774.660000,334.650000
10.400000,98867.140000,790.970000,341.890000
10.500000,98843.610000,807.010000,349.380000
10.600000,98819.550000,822.920000,357.530000
10.700000,98794.950000,839.100000,365.950000
10.800000,98770.490000,855.240000,374.270000
10.900000,98744.940000,872.210000,382.850000
11.000000,98719.440000,888.980000,391.580000
11.100000,98693.810000,905.520000,400.670000
11.200000,98666.910000,923.170000,409.920000
11.300000,98639.580000,941.110000,419.310000
11.400000,98610.930000,960.780000,428.290000
11.500000,98582.530000,979.550000,437.920000
11.600000,98554.350000,997.360000,448.290000
11.700000,98524.380000,1017.430000,458.190000
11.800000,98494.320000,1036.500000,469.180000
11.900000,98463.880000,1056.880000,479.240000
12.000000,98432.690000,1077.240000,490.070000
12.100000,98400.720000,1098.990000,500.290000
12.200000,98368.380000,1120.260000,511.360000
12.300000,98336.270000,1140.800000,522.930000
12.400000,98302.770000,1162.600000,534.630000
12.500000,98269.600000,1184.320000,546.080000
12.600000,98234.890000,1206.500000,558.610000
12.700000,98199.550000,1229.570000,570.880000
12.800000,98163.210000,1253.480000,583.310000
12.900000,98126.720000,1277.800000,595.480000
13.000000,98090.710000,1300.920000,608.370000
13.100000,98052.280000,1326.310000,621.410000
13.200000,98014.050000,1350.520000,635.430000
13.300000,97974.670000,1375.910000,649.420000
13.400000,97934.410000,1402.570000,663.020000
13.500000,97894.690000,1427.890000,677.420000
13.600000,97852.020000,1455.490000,692.490000
13.700000,97809.320000,1483.680000,707.000000
13.800000,97766.120000,1512.030000,721.850000
13.900000,97722.220000,1540.500000,737.280000
14.000000,97676.240000,1571.310000,752.450000
14.100000,97630.410000,1602.250000,767.340000
14.200000,97584.080000,1632.590000,783.330000
14.300000,97536.600000,1664.160000,799.240000
14.400000,97487.200000,1696.110000,816.690000
14.500000,97437.690000,1728.540000,833.770000
14.600000,97388.120000,1760.860000,851.020000
14.700000,97335.810000,1796.340000,867.850000
14.800000,97284.450000,1829.400000,886.150000
14.900000,97231.640000,1864.350000,904.010000
15.000000,97177.190000,1900.410000,922.400000
15.100000,97121.700000,1936.170000,942.130000
15.200000,97064.820000,1974.090000,961.090000
15.300000,97008.590000,2010.620000,980.790000
15.400000,96951.380000,2047.380000,1001.240000
15.500000,96891.170000,2088.030000,1020.800000
15.600000,96830.980000,2126.490000,1042.530000
15.700000,96767.180000,2168.850000,1063.970000
15.800000,96705.040000,2209.540000,1085.420000
15.900000,96642.220000,2250.800000,1106.980000
16.000000,96577.460000,2292.570000,1129.970000
16.100000,96512.340000,2334.640000,1153.020000
16.200000,96444.810000,2378.640000,1176.550000
16.300000,96376.530000,2423.410000,1200.060000
16.400000,96307.940000,2466.920000,1225.140000
16.500000,96235.600000,2514.610000,1249.790000
16.600000,96163.630000,2561.720000,1274.650000
16.700000,96089.660000,2608.720000,1301.620000
16.800000,96014.210000,2658.390000,1327.400000
16.900000,95937.760000,2709.380000,1352.860000
17.000000,95859.460000,2760.710000,1379.830000
17.100000,95780.360000,2812.220000,1407.420000
17.200000,95699.570000,2864.710000,1435.720000
17.300000,95617.610000,2917.910000,1464.480000
17.400000,95534.550000,2970.630000,1494.820000
17.500000,95447.820000,3027.770000,1524.410000
17.600000,95361.290000,3084.460000,1554.250000
17.700000,95273.930000,3140.720000,1585.350000
17.800000,95183.770000,3200.470000,1615.760000
17.900000,95092.770000,3259.580000,1647.650000
18.000000,95001.240000,3318.260000,1680.500000
18.100000,94906.560000,3380.410000,1713.030000
18.200000,94811.260000,3441.160000,1747.580000
18.300000,94712.470000,3505.690000,1781.840000
18.400000,94611.810000,3570.290000,1817.900000
18.500000,94513.450000,3632.250000,1854.300000
18.600000,94410.870000,3699.020000,1890.110000
18.700000,94304.600000,3769.000000,1926.400000
18.800000,94200.130000,3835.990000,1963.880000
18.900000,94092.220000,3905.490000,2002.290000
19.000000,93981.390000,3976.830000,2041.780000
19.100000,93869.360000,4048.180000,2082.460000
19.200000,93754.570000,4121.230000,2124.200000
19.300000,93639.060000,4195.090000,2165.850000
19.400000,93522.410000,4269.280000,2208.310000
19.500000,93401.670000,4347.580000,2250.750000
19.600000,93279.220000,4427.470000,2293.310000
19.700000,93154.040000,4508.730000,2337.230000
19.800000,93025.930000,4592.750000,2381.320000
19.900000,92897.360000,4674.690000,2427.950000
20.000000,92768.640000,4756.570000,2474.790000
20.100000,92634.230000,4844.070000,2521.700000
20.200000,92503.070000,4926.850000,2570.080000
20.300000,92367.740000,5013.650000,2618.610000
20.400000,92226.420000,5104.240000,2669.340000
20.500000,92083.830000,5196.070000,2720.100000
20.600000,91941.550000,5286.580000,2771.870000
20.700000,91794.800000,5379.710000,2825.490000
20.800000,91648.190000,5471.830000,2879.980000
20.900000,91497.950000,5565.700000,2936.350000
21.000000,91345.580000,5662.220000,2992.200000
21.100000,91190.470000,5761.140000,3048.390000
21.200000,91032.840000,5859.950000,3107.210000
21.300000,90873.000000,5961.450000,3165.550000
21.400000,90709.240000,6065.070000,3225.690000
21.500000,90543.030000,6171.230000,3285.740000
21.600000,90375.680000,6278.270000,3346.050000
21.700000,90206.820000,6385.220000,3407.960000
21.800000,90035.010000,6492.040000,3472.950000
21.900000,89859.260000,6603.180000,3537.560000
22.000000,89681.150000,6715.360000,3603.490000
22.100000,89499.070000,6829.560000,3671.370000
22.200000,89314.950000,6944.640000,3740.410000
22.300000,89129.910000,7061.180000,3808.910000
22.400000,88942.660000,7177.040000,3880.300000
22.500000,88752.420000,7295.550000,3952.030000
22.600000,88558.820000,7414.570000,4026.610000
22.700000,88363.110000,7535.140000,4101.750000
22.800000,88161.940000,7660.950000,4177.110000
22.900000,87958.420000,7789.310000,4252.270000
23.000000,87753.000000,7916.060000,4330.940000
23.100000,87543.950000,8043.530000,4412.520000
23.200000,87332.060000,8175.390000,4492.550000
23.300000,87119.240000,8307.190000,4573.570000
23.400000,86901.190000,8443.810000,4655.000000
23.500000,86681.410000,8578.860000,4739.730000
23.600000,86460.590000,8714.130000,4825.280000
23.700000,86234.740000,8853.480000,4911.780000
23.800000,86005.670000,8995.860000,4998.470000
23.900000,85772.710000,9138.940000,5088.350000
24.000000,85539.380000,9282.230000,5178.390000
24.100000,85299.860000,9429.480000,5270.660000
24.200000,85058.840000,9577.700000,5363.460000
24.300000,84815.290000,9724.420000,5460.290000
24.400000,84565.770000,9876.570000,5557.660000
24.500000,84313.720000,10030.070000,5656.210000
24.600000,84060.220000,10184.060000,5755.720000
24.700000,83805.000000,10338.810000,5856.190000
24.800000,83545.610000,10494.790000,5959.600000
24.900000,83283.760000,10650.950000,6065.290000
25.000000,83017.040000,10811.090000,6171.870000
25.100000,82748.660000,10970.620000,6280.720000
25.200000,82475.660000,11133.220000,6391.120000
25.300000,82200.390000,11297.390000,6502.220000
25.400000,81921.000000,11463.800000,6615.200000
25.500000,81641.800000,11627.310000,6730.890000
25.600000,81354.870000,11796.110000,6849.020000
25.700000,81066.510000,11967.680000,6965.810000
25.800000,80774.630000,12138.250000,7087.120000
25.900000,80483.310000,12306.960000,7209.730000
26.000000,80189.530000,12477.770000,7332.700000
26.100000,79892.530000,12649.820000,7457.650000
26.200000,79591.480000,12825.380000,7583.140000
26.300000,79285.220000,13004.570000,7710.210000
26.400000,78974.960000,13185.620000,7839.420000
26.500000,78666.320000,13361.330000,7972.350000
26.600000,78351.330000,13541.820000,8106.850000
26.700000,78036.170000,13721.160000,8242.670000
26.800000,77716.770000,13903.900000,8379.330000
26.900000,77390.830000,14090.360000,8518.810000
27.000000,77064.890000,14273.460000,8661.650000
27.100000,76736.310000,14460.170000,8803.520000
27.200000,76405.530000,14645.700000,8948.770000
27.300000,76069.440000,14833.650000,9096.910000
27.400000,75731.600000,15022.220000,9246.180000
27.500000,75389.610000,15215.140000,9395.250000
27.600000,75044.790000,15407.950000,9547.260000
27.700000,74698.000000,15601.050000,9700.950000
27.800000,74350.180000,15791.840000,9857.980000
27.900000,73998.780000,15984.900000,10016.320000
28.000000,73646.460000,16179.550000,10173.990000
28.100000,73287.360000,16378.140000,10334.500000
28.200000,72929.890000,16571.730000,10498.380000
28.300000,72567.840000,16770.050000,10662.110000
28.400000,72204.930000,16964.300000,10830.770000
28.500000,71838.070000,17162.930000,10999.000000
28.600000,71470.080000,17358.780000,11171.140000
28.700000,71099.230000,17554.300000,11346.470000
28.800000,70726.150000,17751.810000,11522.040000
28.900000,70352.200000,17947.590000,11700.210000
29.000000,69974.720000,18145.510000,11879.770000
29.100000,69597.640000,18341.610000,12060.750000
29.200000,69218.820000,18537.010000,12244.170000
29.300000,68833.180000,18739.240000,12427.580000
29.400000,68451.100000,18932.960000,12615.940000
29.500000,68064.400000,19129.560000,12806.040000
29.600000,67676.070000,19326.910000,12997.020000
29.700000,67282.810000,19525.650000,13191.540000
29.800000,66890.950000,19721.920000,13387.130000
29.900000,66497.790000,19918.530000,13583.680000
30.000000,66101.090000,20116.010000,13782.900000
30.100000,65703.830000,20311.020000,13985.150000
30.200000,65298.350000,20514.020000,14187.630000
30.300000,64897.690000,20711.110000,14391.200000
30.400000,64495.770000,20908.070000,14596.160000
30.500000,64090.420000,21103.070000,14806.510000
30.600000,63688.410000,21290.870000,15020.720000
30.700000,63284.010000,21480.820000,15235.170000
30.800000,62872.270000,21676.370000,15451.360000
30.900000,62463.600000,21866.340000,15670.060000
31.000000,62056.320000,22056.920000,15886.760000
31.100000,61644.560000,22247.280000,16108.160000
31.200000,61232.210000,22440.280000,16327.510000
31.300000,60821.570000,22625.350000,16553.080000
31.400000,60413.650000,22807.100000,16779.250000
31.500000,60003.990000,22987.500000,17008.510000
31.600000,59590.090000,23172.750000,17237.160000
31.700000,59178.030000,23354.900000,17467.070000
31.800000,58764.200000,23536.930000,17698.870000
31.900000,58353.210000,23712.980000,17933.810000
32.000000,57937.010000,23889.820000,18173.170000
32.100000,57521.650000,24064.220000,18414.130000
32.200000,57106.390000,24238.440000,18655.170000
32.300000,56692.690000,24412.410000,18894.900000
32.400000,56277.990000,24584.310000,19137.700000
32.500000,55865.290000,24750.130000,19384.580000
32.600000,55453.020000,24915.580000,19631.400000
32.700000,55038.180000,25079.560000,19882.260000
32.800000,54627.360000,25240.010000,20132.630000
32.900000,54214.570000,25402.360000,20383.070000
33.000000,53801.260000,25560.450000,20638.290000
33.100000,53391.590000,25715.920000,20892.490000
33.200000,52980.890000,25869.080000,21150.030000
33.300000,52571.200000,26019.520000,21409.280000
33.400000,52160.540000,26170.180000,21669.280000
33.500000,51746.490000,26324.480000,21929.030000
33.600000,51339.730000,26468.650000,22191.620000
33.700000,50931.720000,26609.630000,22458.650000
33.800000,50527.390000,26746.250000,22726.360000
33.900000,50122.920000,26882.560000,22994.520000
34.000000,49717.900000,27018.670000,23263.430000
34.100000,49315.740000,27152.110000,23532.150000
34.200000,48914.070000,27283.730000,23802.200000
34.300000,48515.050000,27410.200000,24074.750000
34.400000,48113.360000,27536.900000,24349.740000
34.500000,47718.180000,27656.830000,24624.990000
34.600000,47323.610000,27773.650000,24902.740000
34.700000,46930.840000,27886.980000,25182.180000
34.800000,46534.330000,28006.610000,25459.060000
34.900000,46147.710000,28112.020000,25740.270000
35.000000,45759.350000,28218.320000,26022.330000
35.100000,45371.880000,28329.070000,26299.050000
35.200000,44985.530000,28430.460000,26584.010000
35.300000,44600.120000,28532.980000,26866.900000
35.400000,44220.530000,28630.480000,27148.990000
35.500000,43840.000000,28723.840000,27436.160000
35.600000,43462.970000,28816.340000,27720.690000
35.700000,43090.450000,28901.300000,28008.250000
35.800000,42716.400000,28984.030000,28299.570000
35.900000,42345.070000,29065.950000,28588.980000
36.000000,41975.990000,29144.000000,28880.010000
36.100000,41605.890000,29220.820000,29173.290000
36.200000,41243.420000,29288.710000,29467.870000
36.300000,40881.180000,29357.610000,29761.210000
36.400000,40522.280000,29423.100000,30054.620000
36.500000,40164.010000,29486.920000,30349.070000
36.600000,39805.280000,29551.770000,30642.950000
36.700000,39453.130000,29605.560000,30941.310000
36.800000,39100.460000,29662.990000,31236.550000
36.900000,38753.190000,29712.040000,31534.770000
37.000000,38407.850000,29761.680000,31830.470000
37.100000,38067.440000,29801.100000,32131.460000
37.200000,37728.030000,29843.550000,32428.420000
37.300000,37389.960000,29885.390000,32724.650000
37.400000,37055.330000,29920.170000,33024.500000
37.500000,36723.980000,29950.850000,33325.170000
37.600000,36395.140000,29978.810000,33626.050000
37.700000,36065.940000,30009.220000,33924.840000
37.800000,35741.750000,30033.760000,34224.490000
37.900000,35417.890000,30057.400000,34524.710000
38.000000,35095.280000,30081.640000,34823.080000
38.100000,34775.840000,30100.580000,35123.580000
38.200000,34463.170000,30112.960000,35423.870000
38.300000,34152.340000,30123.780000,35723.880000
38.400000,33845.990000,30129.500000,36024.510000
38.500000,33536.910000,30138.810000,36324.280000
38.600000,33232.850000,30141.550000,36625.600000
38.700000,32936.800000,30137.700000,36925.500000
38.800000,32639.160000,30136.410000,37224.430000
38.900000,32345.760000,30127.950000,37526.290000
39.000000,32052.380000,30121.080000,37826.540000
39.100000,31762.350000,30109.610000,38128.040000
39.200000,31476.890000,30094.500000,38428.610000
39.300000,31191.330000,30078.070000,38730.600000
39.400000,30909.940000,30059.490000,39030.570000
39.500000,30631.080000,30038.290000,39330.630000
39.600000,30355.550000,30013.030000,39631.420000
39.700000,30081.610000,29986.020000,39932.370000
39.800000,29811.950000,29959.010000,40229.040000
39.900000,29545.320000,29924.760000,40529.920000
40.000000,29279.520000,29889.400000,40831.080000
40.100000,29015.730000,29853.760000,41130.510000
40.200000,28755.500000,29816.640000,41427.860000
40.300000,28496.380000,29776.060000,41727.560000
40.400000,28242.360000,29733.010000,42024.630000
40.500000,27991.610000,29687.440000,42320.950000
40.600000,27738.900000,29642.250000,42618.850000
40.700000,27493.450000,29591.390000,42915.160000
40.800000,27250.580000,29536.110000,43213.310000
40.900000,27007.930000,29482.240000,43509.830000
41.000000,26770.390000,29425.630000,43803.980000
41.100000,26533.960000,29368.090000,44097.950000
41.200000,26299.340000,29308.490000,44392.170000
41.300000,26066.880000,29250.110000,44683.010000
41.400000,25839.290000,29185.130000,44975.580000
41.500000,25612.520000,29117.410000,45270.070000
41.600000,25388.730000,29049.540000,45561.730000
41.700000,25168.160000,28980.760000,45851.080000
41.800000,24949.110000,28910.810000,46140.080000
41.900000,24734.040000,28841.970000,46423.990000
42.000000,24518.100000,28768.560000,46713.340000
42.100000,24304.430000,28697.720000,46997.850000
42.200000,24095.490000,28621.700000,47282.810000
42.300000,23888.110000,28543.820000,47568.070000
42.400000,23681.920000,28464.900000,47853.180000
42.500000,23480.890000,28379.330000,48139.780000
42.600000,23280.570000,28296.410000,48423.020000
42.700000,23082.150000,28214.150000,48703.700000
42.800000,22887.100000,28128.420000,48984.480000
42.900000,22692.940000,28041.130000,49265.930000
43.000000,22502.250000,27950.270000,49547.480000
43.100000,22312.510000,27859.840000,49827.650000
43.200000,22128.960000,27763.300000,50107.740000
43.300000,21944.890000,27669.490000,50385.620000
43.400000,21764.950000,27571.570000,50663.480000
43.500000,21585.370000,27477.220000,50937.410000
43.600000,21404.730000,27383.510000,51211.760000
43.700000,21228.000000,27287.650000,51484.350000
43.800000,21054.840000,27186.580000,51758.580000
43.900000,20881.890000,27088.360000,52029.750000
44.000000,20712.230000,26987.340000,52300.430000
44.100000,20543.440000,26884.510000,52572.050000
44.200000,20378.430000,26780.380000,52841.190000
44.300000,20214.780000,26675.570000,53109.650000
44.400000,20053.240000,26570.920000,53375.840000
44.500000,19891.920000,26463.200000,53644.880000
44.600000,19732.710000,26358.210000,53909.080000
44.700000,19576.730000,26249.260000,54174.010000
44.800000,19421.480000,26141.960000,54436.560000
44.900000,19268.770000,26032.860000,54698.370000
45.000000,19117.890000,25922.360000,54959.750000
45.100000,18970.700000,25811.090000,55218.210000
45.200000,18823.240000,25701.000000,55475.760000
45.300000,18676.000000,25590.070000,55733.930000
45.400000,18532.630000,25477.160000,55990.210000
45.500000,18389.650000,25365.550000,56244.800000
45.600000,18248.290000,25250.380000,56501.330000
45.700000,18108.550000,25139.800000,56751.650000
45.800000,17970.570000,25028.400000,57001.030000
45.900000,17836.360000,24914.480000,57249.160000
46.000000,17703.100000,24796.770000,57500.130000
46.100000,17568.380000,24686.250000,57745.370000
46.200000,17437.540000,24568.240000,57994.220000
46.300000,17309.260000,24452.250000,58238.490000
46.400000,17180.870000,24335.990000,58483.140000
46.500000,17054.910000,24220.840000,58724.250000
46.600000,16930.750000,24103.090000,58966.160000
46.700000,16809.730000,23983.090000,59207.180000
46.800000,16689.630000,23863.080000,59447.290000
46.900000,16570.760000,23743.190000,59686.050000
47.000000,16453.780000,23624.100000,59922.120000
47.100000,16339.420000,23505.580000,60155.000000
47.200000,16222.980000,23389.090000,60387.930000
47.300000,16108.470000,23271.190000,60620.340000
47.400000,15994.260000,23149.800000,60855.940000
47.500000,15882.850000,23028.310000,61088.840000
47.600000,15772.930000,22908.580000,61318.490000
47.700000,15665.310000,22788.870000,61545.820000
47.800000,15558.190000,22668.330000,61773.480000
47.900000,15452.030000,22546.030000,62001.940000
48.000000,15348.290000,22426.000000,62225.710000
48.100000,15245.990000,22305.260000,62448.750000
48.200000,15143.270000,22182.060000,62674.670000
48.300000,15040.880000,22062.540000,62896.580000
48.400000,14940.560000,21940.120000,63119.320000
48.500000,14842.810000,21817.810000,63339.380000
48.600000,14744.510000,21696.100000,63559.390000
48.700000,14648.620000,21574.460000,63776.920000
48.800000,14553.080000,21452.260000,63994.660000
48.900000,14459.600000,21333.460000,64206.940000
49.000000,14365.800000,21211.740000,64422.460000
49.100000,14274.110000,21092.770000,64633.120000
